,original,prediction
31710,2623.0,2227.0
31711,2762.0,2578.0
31712,2491.0,1897.0
31713,3359.0,3197.0
31714,1135.0,1016.0
31715,1207.0,1069.0
31716,19694.0,13209.0
31717,19050.0,7597.0
31718,2087.0,1025.0
31719,5354.0,4231.0
31720,13111.0,11851.5
31721,8307.0,5739.0
31722,4742.0,3407.0
31723,1973.0,3945.0
31724,1279.0,1790.0
31725,5028.0,4400.0
31726,2317.0,1064.0
31727,9369.0,3625.0
31728,6185.0,3618.0
31729,7424.0,12052.0
31730,1241.0,1125.0
31731,1988.0,1856.0
31732,9318.0,7192.0
31733,14750.0,14161.5
31734,5023.0,3537.0
31735,5288.0,2429.0
31736,1036.0,2301.0
31737,3462.0,2301.0
31738,1212.0,1233.0
31739,14942.0,9881.0
31740,1002.0,1172.0
31741,8750.0,5040.666666666667
31742,13349.0,10661.5
31743,9649.0,8061.0
31744,2331.0,3242.0
31745,96689.0,61510.333333333336
31746,16435.0,16642.0
31747,11582.0,12932.0
31748,7015.0,4080.0
31749,1757.0,2106.0
31750,2741.0,3253.0
31751,1257.0,1572.5
